METATRYP_taxa_name,genome_name,ncbi_id,img_genome_id,tax_domain,tax_phylum,tax_class,tax_order,tax_family,tax_genus,tax_species
Prochlorococcus_sp_MIT9303,Prochlorococcus sp. MIT9303,59922,640069323,Bacteria,Cyanobacteria,Unclassified Cyanobacteria,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus
Prochlorococcus_sp_MIT9311,Prochlorococcus sp. MIT9311,167547,2606217680,Bacteria,Cyanobacteria,Unclassified Cyanobacteria,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus
Prochlorococcus_sp_MIT9314,Prochlorococcus sp. MIT9314,167548,2606217312,Bacteria,Cyanobacteria,Unclassified Cyanobacteria,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus
Prochlorococcus_sp_MIT9321,Prochlorococcus sp. MIT9321,167549,2606217683,Bacteria,Cyanobacteria,Unclassified Cyanobacteria,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus
Prochlorococcus_sp_MIT9322,Prochlorococcus sp. MIT9322,167550,2606217679,Bacteria,Cyanobacteria,Unclassified Cyanobacteria,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus
Prochlorococcus_sp_MIT9401,Prochlorococcus sp. MIT9401,167551,2606217316,Bacteria,Cyanobacteria,Unclassified Cyanobacteria,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus
Prochlorococcus_sp_MIT9515,Prochlorococcus sp. MIT9515,167542,640069324,Bacteria,Cyanobacteria,Unclassified Cyanobacteria,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus
Prochlorococcus_sp_NATL1A,Prochlorococcus sp. NATL1A,167555,640069325,Bacteria,Cyanobacteria,Unclassified Cyanobacteria,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus
Prochlorococcus_sp_NATL2A,Prochlorococcus sp. NATL2A,59920,637000212,Bacteria,Cyanobacteria,Unclassified Cyanobacteria,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus
Prochlorococcus_sp_SB,Prochlorococcus sp. SB,59926,2606217677,Bacteria,Cyanobacteria,Unclassified Cyanobacteria,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus
Prochlorococcus_sp_SS35,Prochlorococcus sp. SS35,167553,2606217311,Bacteria,Cyanobacteria,Unclassified Cyanobacteria,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus
Prochlorococcus_sp_SS51,Prochlorococcus sp. SS51,167554,2606217315,Bacteria,Cyanobacteria,Unclassified Cyanobacteria,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus
Prochlorococcus_sp_SS52,Prochlorococcus sp. SS52,1499501,2606217314,Bacteria,Cyanobacteria,Unclassified Cyanobacteria,Synechococcales,Prochloraceae,Prochlorococcus,Unclassified Prochlorococcus
Pseudoalteromonas_arctica_A_37-1-2,Pseudoalteromonas arctica A 37-1-2,1117313,2541047156,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas arctica
Pseudoalteromonas_atlantica_T6c,Pseudoalteromonas atlantica T6c,342610,637000216,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas atlantica
Pseudoalteromonas_atlantica_TB41,Pseudoalteromonas atlantica TB41,985149,2579778892,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Unclassified Pseudoalteromonas
Pseudoalteromonas_denitrificans_DSM_6059,Pseudoalteromonas denitrificans DSM 6059,1123010,2599185267,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas denitrificans
Pseudoalteromonas_piscicida_ATCC_15057,Pseudoalteromonas piscicida ATCC 15057,1279016,2519899641,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas piscicida
Pseudoalteromonas_rubra_ATCC_29570,Pseudoalteromonas rubra ATCC 29570,1117318,2541047006,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas rubra
Pseudoalteromonas_rubra_S2471,Pseudoalteromonas rubra S2471,43658,2671180867,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Unclassified Pseudoalteromonas
Richelia_intracellularis_RC01,Richelia intracellularis RC01,1164990,2622736407,Bacteria,Cyanobacteria,Unclassified Cyanobacteria,Nostocales,Nostocaceae,Richelia,Unclassified Richelia
Roseobacter_litoralis_Och_149,Roseobacter litoralis Och 149,391595,2510065042,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseobacter,Roseobacter litoralis
Roseobacter_sp_AzwK-3b,Roseobacter sp. AzwK-3b,351016,640963029,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseobacter,Unclassified Roseobacter
Roseobacter_sp_CCS2,Roseobacter sp. CCS2,391593,640612221,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseobacter,Unclassified Roseobacter
Roseobacter_sp_GAI101,Roseobacter sp. GAI101,391589,647533205,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseobacter,Unclassified Roseobacter
Roseobacter_sp_MED193,Roseobacter sp. MED193,314262,638341182,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseobacter,Unclassified Roseobacter
Roseobacter_sp_SK209-2-6,Roseobacter sp. SK209-2-6,388739,640612220,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseobacter,Unclassified Roseobacter
Roseovarius_nubinhibens_ISM,Roseovarius nubinhibens ISM,89187,638341183,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseovarius,Roseovarius nubinhibens
Roseovarius_sp_TM1035,Roseovarius sp. TM1035,391613,640963035,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseovarius,Unclassified Roseovarius
Sagittula_stellata_E-37,Sagittula stellata E-37,388399,640612219,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Sagittula,Sagittula stellata
SAR116_cluster_alpha_proteobacterium_sp_HIMB100,SAR116 cluster alpha proteobacterium sp. HIMB100,281031,2503113005,Bacteria,Proteobacteria,Alphaproteobacteria,Unclassified Alphaproteobacteria,Unclassified Alphaproteobacteria,Unclassified Alphaproteobacteria,Unclassified Alphaproteobacteria
SAR116_cluster_alphaproteobacterium_REDSEA-S10...,SAR116 cluster alphaproteobacterium REDSEA-S10_B10N8,62654,2651870131,Bacteria,Proteobacteria,Alphaproteobacteria,Unclassified Alphaproteobacteria,Unclassified Alphaproteobacteria,Unclassified Alphaproteobacteria,Unclassified Alphaproteobacteria
SAR116_cluster_alphaproteobacterium_REDSEA-S2_B12,SAR116 cluster alphaproteobacterium REDSEA-S2_B12,62654,2654587886,Bacteria,Proteobacteria,Alphaproteobacteria,Unclassified Alphaproteobacteria,Unclassified Alphaproteobacteria,Unclassified Alphaproteobacteria,Unclassified Alphaproteobacteria
Shewanella_benthica_KT99,Shewanella benthica KT99,314608,2501651207,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella benthica
Sphingomonas_sp_SKA58,Sphingomonas sp. SKA58,314266,638341199,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Unclassified Sphingomonas
Stenotrophomonas_sp_SKA14,Stenotrophomonas sp. SKA14,391601,647533230,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,Unclassified Stenotrophomonas
Sulfitobacter_sp_EE-36,Sulfitobacter sp. EE-36,52598,638341211,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Sulfitobacter,Unclassified Sulfitobacter
Sulfitobacter_sp_NAS-141,Sulfitobacter sp. NAS-14.1,314267,638341212,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Sulfitobacter,Unclassified Sulfitobacter
Sulfurospirillum_sp_Am-N_draft,Sulfurospirillum sp. Am-N (draft),160628,2502171155,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Sulfurospirillum,Unclassified Sulfurospirillum
Synechococcus_elongatus_PCC_6301,Synechococcus elongatus PCC 6301,269084,637000307,Bacteria,Cyanobacteria,Unclassified Cyanobacteria,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus elongatus
Synechococcus_elongatus_PCC_7942,Synechococcus elongatus PCC 7942,1140,637000308,Bacteria,Cyanobacteria,Unclassified Cyanobacteria,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus elongatus
Synechococcus_sp_7002,Synechococcus sp. 7002,1938862,2708742468,Bacteria,Cyanobacteria,Unclassified Cyanobacteria,Synechococcales,Synechococcaceae,Synechococcus,Unclassified Synechococcus
Synechococcus_sp_BL107,Synechococcus sp. BL107,313625,639857006,Bacteria,Cyanobacteria,Unclassified Cyanobacteria,Synechococcales,Synechococcaceae,Synechococcus,Unclassified Synechococcus
Synechococcus_sp_CB0101,Synechococcus sp. CB0101,232348,649990022,Bacteria,Cyanobacteria,Unclassified Cyanobacteria,Synechococcales,Synechococcaceae,Synechococcus,Unclassified Synechococcus
Synechococcus_sp_CB0205,Synechococcus sp. CB0205,232363,649990023,Bacteria,Cyanobacteria,Unclassified Cyanobacteria,Synechococcales,Synechococcaceae,Synechococcus,Unclassified Synechococcus
Synechococcus_sp_CC9311,Synechococcus sp. CC9311,64471,637000309,Bacteria,Cyanobacteria,Unclassified Cyanobacteria,Synechococcales,Synechococcaceae,Synechococcus,Unclassified Synechococcus
Synechococcus_sp_CC9605,Synechococcus sp. CC9605,110662,637000310,Bacteria,Cyanobacteria,Unclassified Cyanobacteria,Synechococcales,Synechococcaceae,Synechococcus,Unclassified Synechococcus
Synechococcus_sp_CC9616,Synechococcus sp. CC9616,110663,2517093019,Bacteria,Cyanobacteria,Unclassified Cyanobacteria,Synechococcales,Synechococcaceae,Synechococcus,Unclassified Synechococcus
Synechococcus_sp_CC9902,Synechococcus sp. CC9902,316279,637000311,Bacteria,Cyanobacteria,Unclassified Cyanobacteria,Synechococcales,Synechococcaceae,Synechococcus,Unclassified Synechococcus
Synechococcus_sp_PCC_7336,Synechococcus sp. PCC 7336,195250,2506520048,Bacteria,Cyanobacteria,Unclassified Cyanobacteria,Synechococcales,Synechococcaceae,Synechococcus,Unclassified Synechococcus
Synechococcus_sp_RS9916,Synechococcus sp. RS9916,221359,639857007,Bacteria,Cyanobacteria,Unclassified Cyanobacteria,Synechococcales,Synechococcaceae,Synechococcus,Unclassified Synechococcus
Synechococcus_sp_RS9917,Synechococcus sp. RS9917,221360,638341213,Bacteria,Cyanobacteria,Unclassified Cyanobacteria,Synechococcales,Synechococcaceae,Synechococcus,Unclassified Synechococcus
Synechococcus_sp_WH_8016,Synechococcus sp. WH 8016,166318,2507262052,Bacteria,Cyanobacteria,Unclassified Cyanobacteria,Synechococcales,Synechococcaceae,Synechococcus,Unclassified Synechococcus
Synechococcus_sp_WH_8109,Synechococcus sp. WH 8109,166314,2563366603,Bacteria,Cyanobacteria,Unclassified Cyanobacteria,Synechococcales,Synechococcaceae,Synechococcus,Unclassified Synechococcus
Synechococcus_sp_WH5701,Synechococcus sp. WH5701,69042,638341214,Bacteria,Cyanobacteria,Unclassified Cyanobacteria,Synechococcales,Synechococcaceae,Synechococcus,Unclassified Synechococcus
Synechococcus_sp_WH7803,Synechococcus sp. WH7803,32051,640427149,Bacteria,Cyanobacteria,Unclassified Cyanobacteria,Synechococcales,Synechococcaceae,Synechococcus,Unclassified Synechococcus
Synechococcus_sp_WH7805,Synechococcus sp. WH7805,59931,638341215,Bacteria,Cyanobacteria,Unclassified Cyanobacteria,Synechococcales,Synechococcaceae,Synechococcus,Unclassified Synechococcus
Synechococcus_sp_WH8102,Synechococcus sp. WH8102,84588,637000314,Bacteria,Cyanobacteria,Unclassified Cyanobacteria,Synechococcales,Synechococcaceae,Synechococcus,Unclassified Synechococcus
Thalassobium_sp_R2A62,Thalassobium sp. R2A62,633131,647533238,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Thalassobium,Unclassified Thalassobium
Thermococcus_sp_AM4,Thermococcus sp. AM4,246969,2511231053,Bacteria,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Unclassified Thermococcus
Trichodesmium_erythraeum_IMS101,Trichodesmium erythraeum IMS101,203124,637000329,Bacteria,Cyanobacteria,Unclassified Cyanobacteria,Oscillatoriales,Microcoleaceae,Trichodesmium,Trichodesmium erythraeum
Trichodesmium_thiebautii_H9-4,Trichodesmium thiebautii H9-4,1045877,2627854162,Archaea,Cyanobacteria,Unclassified Cyanobacteria,Oscillatoriales,Microcoleaceae,Trichodesmium,Trichodesmium thiebautii
Vibrio_alginolyticus_12G01,Vibrio alginolyticus 12G01,314288,638341222,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus
Vibrio_campbellii_AND4,Vibrio campbellii AND4,314289,641380451,Archaea,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Unclassified Vibrio
Vibrio_fischeri_MJ11,Vibrio fischeri MJ11,388396,642555167,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Aliivibrio,Aliivibrio fischeri
Vibrio_parahaemolyticus_16,Vibrio parahaemolyticus 16,391586,647533245,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Unclassified Vibrio
Vibrio_sp_MED222,Vibrio sp. MED222,314290,638341230,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Unclassified Vibrio
Vibrio_splendidus_12B01,Vibrio splendidus 12B01,314291,638341231,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio splendidus
